in s,C1 in V
-2.9887949E+00,-5.12695E-03
-2.9887488E+00,-5.61523E-03
-2.9887027E+00,-5.61523E-03
-2.9886566E+00,-5.12695E-03
-2.9886106E+00,-6.10352E-03
-2.9885645E+00,-3.66211E-03
-2.9885184E+00,-4.15039E-03
-2.9884723E+00,-3.17383E-03
-2.9884262E+00,-6.59180E-03
-2.9883802E+00,-5.61523E-03
-2.9883341E+00,-5.12695E-03
-2.9882880E+00,-3.66211E-03
-2.9882419E+00,-5.12695E-03
-2.9881958E+00,-4.63867E-03
-2.9881498E+00,-3.66211E-03
-2.9881037E+00,-2.19727E-03
-2.9880576E+00,-5.61523E-03
-2.9880115E+00,-5.12695E-03
-2.9879654E+00,-5.61523E-03
-2.9879194E+00,-7.56836E-03
-2.9878733E+00,-6.10352E-03
-2.9878272E+00,-5.61523E-03
-2.9877811E+00,-4.63867E-03
-2.9877350E+00,2.44141E-04
-2.9876890E+00,-2.19727E-03
-2.9876429E+00,-4.63867E-03
-2.9875968E+00,-4.15039E-03
-2.9875507E+00,-5.61523E-03
-2.9875046E+00,-6.10352E-03
-2.9874586E+00,-5.61523E-03
-2.9874125E+00,-5.12695E-03
-2.9873664E+00,-5.12695E-03
-2.9873203E+00,-6.59180E-03
-2.9872742E+00,-6.10352E-03
-2.9872282E+00,-6.59180E-03
-2.9871821E+00,-7.08008E-03
-2.9871360E+00,-6.10352E-03
-2.9870899E+00,-6.59180E-03
-2.9870438E+00,-5.12695E-03
-2.9869978E+00,-4.15039E-03
-2.9869517E+00,-5.12695E-03
-2.9869056E+00,-5.61523E-03
-2.9868595E+00,-5.12695E-03
-2.9868134E+00,-7.08008E-03
-2.9867674E+00,-5.12695E-03
-2.9867213E+00,-5.61523E-03
-2.9866752E+00,-5.61523E-03
-2.9866291E+00,-4.15039E-03
-2.9865830E+00,-6.59180E-03
-2.9865370E+00,-6.59180E-03
-2.9864909E+00,-5.12695E-03
-2.9864448E+00,-5.12695E-03
-2.9863987E+00,-2.68555E-03
-2.9863526E+00,-5.61523E-03
-2.9863066E+00,-6.59180E-03
-2.9862605E+00,-6.59180E-03
-2.9862144E+00,-3.66211E-03
-2.9861683E+00,-7.08008E-03
-2.9861222E+00,-2.19727E-03
-2.9860762E+00,-5.12695E-03
-2.9860301E+00,-5.61523E-03
-2.9859840E+00,-4.15039E-03
-2.9859379E+00,-5.61523E-03
-2.9858918E+00,-4.15039E-03
-2.9858458E+00,-6.10352E-03
-2.9857997E+00,-6.10352E-03
-2.9857536E+00,-4.63867E-03
-2.9857075E+00,-7.08008E-03
-2.9856614E+00,-5.12695E-03
-2.9856154E+00,-5.61523E-03
-2.9855693E+00,-4.15039E-03
-2.9855232E+00,-3.66211E-03
-2.9854771E+00,-5.61523E-03
-2.9854310E+00,-4.63867E-03
-2.9853850E+00,-6.59180E-03
-2.9853389E+00,-5.12695E-03
-2.9852928E+00,-2.19727E-03
-2.9852467E+00,-3.66211E-03
-2.9852006E+00,-6.59180E-03
-2.9851546E+00,-7.08008E-03
-2.9851085E+00,-4.15039E-03
-2.9850624E+00,-4.63867E-03
-2.9850163E+00,-6.10352E-03
-2.9849702E+00,-5.12695E-03
-2.9849242E+00,-4.15039E-03
-2.9848781E+00,-4.63867E-03
-2.9848320E+00,-5.61523E-03
-2.9847859E+00,-6.10352E-03
-2.9847398E+00,-5.61523E-03
-2.9846938E+00,-5.61523E-03
-2.9846477E+00,-3.66211E-03
-2.9846016E+00,-5.61523E-03
-2.9845555E+00,-5.12695E-03
-2.9845094E+00,-4.15039E-03
-2.9844634E+00,-5.12695E-03
-2.9844173E+00,-4.63867E-03
-2.9843712E+00,-6.10352E-03
-2.9843251E+00,-6.59180E-03
-2.9842790E+00,-7.08008E-03
-2.9842330E+00,-9.03320E-03
-2.9841869E+00,-6.59180E-03
-2.9841408E+00,-4.15039E-03
-2.9840947E+00,-5.61523E-03
-2.9840486E+00,-5.61523E-03
-2.9840026E+00,-4.63867E-03
-2.9839565E+00,-6.10352E-03
-2.9839104E+00,-5.12695E-03
-2.9838643E+00,-6.10352E-03
-2.9838182E+00,-6.59180E-03
-2.9837722E+00,-7.08008E-03
-2.9837261E+00,-6.59180E-03
-2.9836800E+00,-5.61523E-03
-2.9836339E+00,-4.15039E-03
-2.9835878E+00,-5.61523E-03
-2.9835418E+00,-5.61523E-03
-2.9834957E+00,-5.12695E-03
-2.9834496E+00,-5.61523E-03
-2.9834035E+00,-6.59180E-03
-2.9833574E+00,-5.12695E-03
-2.9833114E+00,-4.15039E-03
-2.9832653E+00,-5.12695E-03
-2.9832192E+00,-4.63867E-03
-2.9831731E+00,-4.63867E-03
-2.9831270E+00,-6.10352E-03
-2.9830810E+00,-3.66211E-03
-2.9830349E+00,-5.61523E-03
-2.9829888E+00,-5.61523E-03
-2.9829427E+00,-5.61523E-03
-2.9828966E+00,-5.61523E-03
-2.9828506E+00,-6.59180E-03
-2.9828045E+00,-6.10352E-03
-2.9827584E+00,-6.10352E-03
-2.9827123E+00,-6.10352E-03
-2.9826662E+00,-4.63867E-03
-2.9826202E+00,-4.15039E-03
-2.9825741E+00,-3.66211E-03
-2.9825280E+00,-7.56836E-03
-2.9824819E+00,-5.12695E-03
